YEAR,LEGAL_NAME,ICAO,ICAO_COUNTRY_NAME,TRAFFIC,OUT_OF_BUSINESS
2024,ADVENTIA,DVN,SPAIN,1417,NO
2023,ADVENTIA,DVN,SPAIN,1341,NO
2025,ADVENTIA,DVN,SPAIN,1146,NO
2023,BRAVO FLIGHT,DVV,PAKISTAN,2,NO
2025,EMPIRE AVIATION SM,DWC,SAN MARINO,2203,NO
2024,EMPIRE AVIATION SM,DWC,SAN MARINO,41,NO
2024,DAS PRIVATE JETS,DWW,GERMANY,2890,NO
2023,DAS PRIVATE JETS,DWW,GERMANY,2659,NO
2025,DAS PRIVATE JETS,DWW,GERMANY,2527,NO
2024,AIR MANAGEMENT JSC,DXT,RUSSIAN FEDERATION,2003,NO
2023,AIR MANAGEMENT JSC,DXT,RUSSIAN FEDERATION,1519,NO
2025,AIR MANAGEMENT JSC,DXT,RUSSIAN FEDERATION,1113,NO
2024,YAZD AIRWAYS,DZD,IRAN,335,NO
2025,YAZD AIRWAYS,DZD,IRAN,319,NO
2023,YAZD AIRWAYS,DZD,IRAN,28,NO
2025,ELIT'AVIA INTERNATIONAL SM S.R.L.,EAA,SAN MARINO,178,NO
2024,ELIT'AVIA INTERNATIONAL SM S.R.L.,EAA,SAN MARINO,36,NO
2019,EXO -2T PORTUGAL+AC,EAD,PORTUGAL,387,NO
2025,ELECTRA AIRWAYS LTD,EAF,BULGARIA,2342,NO
2024,ELECTRA AIRWAYS LTD,EAF,BULGARIA,537,NO
2023,ELECTRA AIRWAYS LTD,EAF,BULGARIA,506,NO
2019,ELECTRA AIRWAYS LTD,EAF,BULGARIA,494,NO
2024,EMERALD AIRLINES UK LIMITED,EAG,UNITED KINGDOM,15351,NO
2025,EMERALD AIRLINES UK LIMITED,EAG,UNITED KINGDOM,14248,NO
2023,EMERALD AIRLINES UK LIMITED,EAG,UNITED KINGDOM,12258,NO
2025,EMERALD AIRLINES,EAI,IRELAND,26390,NO
2024,EMERALD AIRLINES,EAI,IRELAND,22966,NO
2023,EMERALD AIRLINES,EAI,IRELAND,22739,NO
2025,AIRENKA HAVA,EAJ,TÜRKIYE,204,NO
2024,AIRENKA HAVA,EAJ,TÜRKIYE,190,NO
2023,AIRENKA HAVA,EAJ,TÜRKIYE,183,NO
2025,AIR TENGRI JSC,EAK,KAZAKHSTAN,865,NO
2024,AIR TENGRI JSC,EAK,KAZAKHSTAN,825,NO
2023,AIR TENGRI JSC,EAK,KAZAKHSTAN,484,NO
2019,AIR TENGRI JSC,EAK,KAZAKHSTAN,160,NO
2023,EASTERN AIRLINES LLC,EAL,USA,270,NO
2024,EASTERN AIRLINES LLC,EAL,USA,140,NO
2025,EASTERN AIRLINES LLC,EAL,USA,130,NO
2019,EASTERN AIRLINES LLC,EAL,USA,68,NO
2019,EXPRESS AIRWAYS (DN),EAN,NIGERIA,4,NO
2024,AERO PYRENEES,EAP,FRANCE,4178,NO
2025,AERO PYRENEES,EAP,FRANCE,3876,NO
2023,AERO PYRENEES,EAP,FRANCE,2763,NO
2019,AERO PYRENEES,EAP,FRANCE,1396,NO
2024,AIR TRANSPORT EUROPE,EAT,SLOVAK REPUBLIC,350,NO
2019,AIR TRANSPORT EUROPE,EAT,SLOVAK REPUBLIC,267,NO
2025,AIR TRANSPORT EUROPE,EAT,SLOVAK REPUBLIC,262,NO
2023,AIR TRANSPORT EUROPE,EAT,SLOVAK REPUBLIC,134,NO
2019,ELITAVIA MALTA,EAU,MALTA,1645,NO
2024,ELITAVIA MALTA,EAU,MALTA,1480,NO
2023,ELITAVIA MALTA,EAU,MALTA,1188,NO
2025,ELITAVIA MALTA,EAU,MALTA,1109,NO
2019,ELITAVIA D.O.O.,EAV,SLOVENIA,444,NO
2025,"EUROPEAN AVIATION SCHOOL OF BARCELONA, S.L",EAX,SPAIN,1164,NO
2024,"EUROPEAN AVIATION SCHOOL OF BARCELONA, S.L",EAX,SPAIN,848,NO
2023,"EUROPEAN AVIATION SCHOOL OF BARCELONA, S.L",EAX,SPAIN,689,NO
2019,EXO -2T SPAIN+CAN,EAX,BELGIUM,329,NO
2025,AERBRAVA SCP,EBV,SPAIN,22,NO
2024,AERBRAVA SCP,EBV,SPAIN,2,NO
2023,AERBRAVA SCP,EBV,SPAIN,1,NO
2019,AIRBUS HELICOPTER,EC*,FRANCE,14,NO
2025,AIRBUS HELICOPTER,EC*,FRANCE,3,NO
2019,OHLAIR,ECA,GERMANY,614,NO
2025,OHLAIR,ECA,GERMANY,48,NO
2024,OHLAIR,ECA,GERMANY,20,NO
2023,ECLAIR S.R.O.,ECC,CZECH REPUBLIC,1126,NO
2025,ECLAIR S.R.O.,ECC,CZECH REPUBLIC,802,NO
2024,ECLAIR S.R.O.,ECC,CZECH REPUBLIC,780,NO
2019,ECLAIR S.R.O.,ECC,CZECH REPUBLIC,778,NO
2025,EAST COAST JETS INC,ECJ,USA,330,NO
2019,AIR CHARTER SCOTLAND LTD,EDC,UNITED KINGDOM,2373,NO
2023,AIR CHARTER SCOTLAND LTD,EDC,UNITED KINGDOM,2129,NO
2024,AIR CHARTER SCOTLAND LTD,EDC,UNITED KINGDOM,1672,NO
2025,AIR CHARTER SCOTLAND LTD,EDC,UNITED KINGDOM,1361,NO
2023,WESTERN AIR CHTR KX,EDG,USA,6995,NO
2019,WESTERN AIR CHTR KX,EDG,USA,3475,NO
2024,WESTERN AIR CHTR KX,EDG,USA,1915,NO
2025,WESTERN AIR CHTR KX,EDG,USA,658,NO
2025,PHUSTBY,EDL,GERMANY,554,NO
2019,PHUSTBY,EDL,GERMANY,300,NO
2024,PHUSTBY,EDL,GERMANY,259,NO
2023,PHUSTBY,EDL,GERMANY,186,NO
2025,EDELWEISS SUISSE,EDW,SWITZERLAND,22145,NO
2024,EDELWEISS SUISSE,EDW,SWITZERLAND,20460,NO
2023,EDELWEISS SUISSE,EDW,SWITZERLAND,18884,NO
2019,EDELWEISS SUISSE,EDW,SWITZERLAND,16302,NO
2025,APOLLO AIR SERVICES,EDY,UNITED KINGDOM,11,NO
2023,APOLLO AIR SERVICES,EDY,UNITED KINGDOM,6,NO
2019,MIL ESTONIA,EEF,ESTONIA,24,NO
2023,MIL ESTONIA,EEF,ESTONIA,10,NO
2024,MIL ESTONIA,EEF,ESTONIA,4,NO
2025,MIL ESTONIA,EEF,ESTONIA,3,NO
2019,SOVEREIGN BUSINESS,EEL,UNITED KINGDOM,23,NO
2019,EAGLE EXPRESS,EES,SERBIA,609,NO
2019,EUROFLY SERVICE,EEU,ITALY,1,YES
2019,EISELE FLUGDIENST,EFD,GERMANY,3536,NO
2023,EISELE FLUGDIENST,EFD,GERMANY,3391,NO
2024,EISELE FLUGDIENST,EFD,GERMANY,3389,NO
2025,EISELE FLUGDIENST,EFD,GERMANY,2284,NO
2025,WESTAIR AVIATION LTD,EFF,IRELAND,101,NO
2019,WESTAIR AVIATION LTD,EFF,IRELAND,94,NO
2023,WESTAIR AVIATION LTD,EFF,IRELAND,88,NO
2024,WESTAIR AVIATION LTD,EFF,IRELAND,42,NO
2025,BRITISH AIRWAYS EUROFLYER,EFW,UNITED KINGDOM,26004,NO
2024,BRITISH AIRWAYS EUROFLYER,EFW,UNITED KINGDOM,23475,NO
2023,BRITISH AIRWAYS EUROFLYER,EFW,UNITED KINGDOM,16965,NO
2019,CAPITAL TRADING,EGL,UNITED KINGDOM,2714,NO
2019,NATIONAL JETS,EGS,USA,12,NO
2024,NATIONAL JETS,EGS,USA,12,NO
2025,NATIONAL JETS,EGS,USA,2,NO
2024,EGT JET LTD,EGT,BULGARIA,1051,NO
2023,EGT JET LTD,EGT,BULGARIA,959,NO
2025,EGT JET LTD,EGT,BULGARIA,918,NO
2023,MIL EGYPT (3),EGY,EGYPT,556,NO
2019,MIL EGYPT (3),EGY,EGYPT,424,NO
2025,MIL EGYPT (3),EGY,EGYPT,412,NO
2024,MIL EGYPT (3),EGY,EGYPT,385,NO
2025,HELICENTRE INVEST,EHC,NETHERLANDS,129,NO
2019,AER LINGUS,EIN,IRELAND,81536,NO
2025,AER LINGUS,EIN,IRELAND,70452,NO
2024,AER LINGUS,EIN,IRELAND,68819,NO
2023,AER LINGUS,EIN,IRELAND,68323,NO
2024,EIS HOLDING GMBH,EIS,GERMANY,1337,NO
2025,EIS HOLDING GMBH,EIS,GERMANY,1163,NO
2023,EIS HOLDING GMBH,EIS,GERMANY,1097,NO
2019,EIS HOLDING GMBH,EIS,GERMANY,536,NO
2025,STELLAER 212,EIX,IRELAND,772,NO
2024,STELLAER 212,EIX,IRELAND,3,NO
2023,EXECUTIVE JET MANAGEMENT,EJM,USA,19077,NO
2024,EXECUTIVE JET MANAGEMENT,EJM,USA,17335,NO
2025,EXECUTIVE JET MANAGEMENT,EJM,USA,14390,NO
2019,EXECUTIVE JET MANAGEMENT,EJM,USA,13675,NO
2025,EXECUJET MIDDLE EAST,EJO,UNITED ARAB EMIRATES,208,NO
2024,EXECUJET MIDDLE EAST,EJO,UNITED ARAB EMIRATES,111,NO
2023,EXECUJET MIDDLE EAST,EJO,UNITED ARAB EMIRATES,88,NO
2025,EASYJET EUROPE AIRLINE GMBH,EJU,AUSTRIA,243762,NO
2024,EASYJET EUROPE AIRLINE GMBH,EJU,AUSTRIA,229400,NO
2023,EASYJET EUROPE AIRLINE GMBH,EJU,AUSTRIA,217416,NO
2019,EASYJET EUROPE AIRLINE GMBH,EJU,AUSTRIA,210960,NO
2025,EUROPEAN SPECIALISED,EKT,MALTA,197,NO
2019,ELLINAIR S.A.,ELB,GREECE,6678,NO
2023,EUROAIRLINES S.L.,ELE,SPAIN,79,NO
2024,EUROAIRLINES S.L.,ELE,SPAIN,25,NO
2025,EUROAIRLINES S.L.,ELE,SPAIN,10,NO
2024,FLYGR8 S.A.,ELF,GREECE,47,NO
2023,FLYGR8 S.A.,ELF,GREECE,25,NO
2025,ELANGENI GMBH,ELG,AUSTRIA,1727,NO
2024,ELANGENI GMBH,ELG,AUSTRIA,1432,NO
2023,ELANGENI GMBH,ELG,AUSTRIA,1166,NO
2024,ELITE JET S.R.O.,ELJ,SLOVAK REPUBLIC,1408,NO
2019,ELITE JET S.R.O.,ELJ,SLOVAK REPUBLIC,1359,NO
2023,ELITE JET S.R.O.,ELJ,SLOVAK REPUBLIC,1207,NO
2025,ELITE JET S.R.O.,ELJ,SLOVAK REPUBLIC,1064,NO
2025,ELIN GROUP,ELN,NIGERIA,204,NO
2024,ELIN GROUP,ELN,NIGERIA,196,NO
2019,ELAN EXPRESS INC,ELX,USA,62,NO
2025,ELAN EXPRESS INC,ELX,USA,46,NO
2023,ELAN EXPRESS INC,ELX,USA,23,NO
2024,ELAN EXPRESS INC,ELX,USA,10,NO
2025,ELAL,ELY,ISRAEL,36205,NO
2024,ELAL,ELY,ISRAEL,36102,NO
2019,ELAL,ELY,ISRAEL,33388,NO
2023,ELAL,ELY,ISRAEL,29790,NO
2024,"ELITE AIR, INC.",ELZ,USA,802,NO
2025,"ELITE AIR, INC.",ELZ,USA,342,NO
2023,"ELITE AIR, INC.",ELZ,USA,92,NO
2023,EMBRAER SA-COMMERC.,EMB,BRAZIL,2,NO
2025,247 AVIATION LTD,EMC,UNITED KINGDOM,3222,NO
2024,247 AVIATION LTD,EMC,UNITED KINGDOM,1918,NO
2023,247 AVIATION LTD,EMC,UNITED KINGDOM,611,NO
2019,EMPEROR AVIATION,EMM,MALTA,785,NO
2024,SKYEMOTION GMBH,EMO,AUSTRIA,288,NO
2025,SKYEMOTION GMBH,EMO,AUSTRIA,268,NO
2023,SKYEMOTION GMBH,EMO,AUSTRIA,152,NO
2019,ENAV ITALIA,ENF,ITALY,671,NO
2024,ENAV ITALIA,ENF,ITALY,605,NO
2023,ENAV ITALIA,ENF,ITALY,554,NO
2025,ENAV ITALIA,ENF,ITALY,508,NO
2025,ENTER AIR,ENT,POLAND,30668,NO
2024,ENTER AIR,ENT,POLAND,29411,NO
2023,ENTER AIR,ENT,POLAND,26788,NO
2019,ENTER AIR,ENT,POLAND,20201,NO
2025,ENVOY AIR,ENY,USA,1920,NO
2024,ENVOY AIR,ENY,USA,1444,NO
2023,ENVOY AIR,ENY,USA,649,NO
2019,JOTA AVIATION,ENZ,UNITED KINGDOM,1485,NO
2025,ELILOMBARDA,EOA,ITALY,330,NO
2019,ELILOMBARDA,EOA,ITALY,282,NO
2024,ELILOMBARDA,EOA,ITALY,268,NO
2023,ELILOMBARDA,EOA,ITALY,181,NO
2024,COLT INTERNATIONAL LLC,EOK,USA,2,NO
2019,AIRAILES SARL,EOL,FRANCE,125,NO
2024,AIRAILES SARL,EOL,FRANCE,121,NO
2023,AIRAILES SARL,EOL,FRANCE,103,NO
2025,AIRAILES SARL,EOL,FRANCE,79,NO
2023,EUROPILOT CENTER,EPC,BELGIUM,83,NO
2025,EUROPILOT CENTER,EPC,BELGIUM,82,NO
2024,EUROPILOT CENTER,EPC,BELGIUM,63,NO
2025,QE EUROPE LTD,EQE,MALTA,2,NO
2023,AIR EMERALDS DOO,ERD,SERBIA,7,NO
2019,EROFEY LLC,ERF,RUSSIAN FEDERATION,197,NO
2019,ERNEST SPA,ERN,ITALY,7917,YES
2024,ESPERIA AVIATION SVC,ESP,ITALY,28,NO
2025,ESPERIA AVIATION SVC,ESP,ITALY,20,NO
2019,EASTAR JET,ESR,KOREA,5,NO
2023,EASTAR JET 2,ESR,KOREA,4,NO
2024,EASTAR JET 2,ESR,KOREA,4,NO
2023,REGIONAL JET,EST,ESTONIA,735,YES
2019,REGIONAL JET,EST,ESTONIA,427,YES
2024,REGIONAL JET,EST,ESTONIA,243,YES
2023,ASG BUSINESS AV.,ESW,AZERBAIJAN,933,NO
2024,ASG BUSINESS AV.,ESW,AZERBAIJAN,880,NO
2025,ASG BUSINESS AV.,ESW,AZERBAIJAN,817,NO
2019,ASG BUSINESS AV.,ESW,AZERBAIJAN,662,NO
2025,ETIHAD AIRWAYS,ETD,UNITED ARAB EMIRATES,36417,NO
2024,ETIHAD AIRWAYS,ETD,UNITED ARAB EMIRATES,28713,NO
2019,ETIHAD AIRWAYS,ETD,UNITED ARAB EMIRATES,27273,NO
2023,ETIHAD AIRWAYS,ETD,UNITED ARAB EMIRATES,22896,NO
2025,ETHIOPIAN AIRLINES,ETH,ETHIOPIA,31705,NO
2024,ETHIOPIAN AIRLINES,ETH,ETHIOPIA,29271,NO
2023,ETHIOPIAN AIRLINES,ETH,ETHIOPIA,25554,NO
2019,ETHIOPIAN AIRLINES,ETH,ETHIOPIA,19956,NO
2019,H-BIRD AVTN SVCS AB,ETI,SWEDEN,2094,NO
2024,H-BIRD AVTN SVCS AB,ETI,SWEDEN,1179,NO
2023,H-BIRD AVTN SVCS AB,ETI,SWEDEN,986,NO
2025,H-BIRD AVTN SVCS AB,ETI,SWEDEN,617,NO
2024,QINETIQ 2,ETP,UNITED KINGDOM,30,NO
2025,QINETIQ 2,ETP,UNITED KINGDOM,30,NO
2023,QINETIQ 2,ETP,UNITED KINGDOM,20,NO
2019,QINETIQ 2,ETP,UNITED KINGDOM,5,NO
2019,AEROLINEAS ESTELAR  LATINOAMERICA C.A.,ETR,VENEZUELA,315,NO
2023,AER LINGUS (UK) LTD,EUK,UNITED KINGDOM,1692,NO
2024,AER LINGUS (UK) LTD,EUK,UNITED KINGDOM,1370,NO
2025,AER LINGUS (UK) LTD,EUK,UNITED KINGDOM,1324,NO
2024,EURO LINK GMBH,EUL,GERMANY,1120,NO
2023,EURO LINK GMBH,EUL,GERMANY,1059,NO
2025,EURO LINK GMBH,EUL,GERMANY,981,NO
2023,PAN EUROPEENNE,EUP,FRANCE,628,NO
2019,PAN EUROPEENNE,EUP,FRANCE,575,NO
2024,PAN EUROPEENNE,EUP,FRANCE,503,NO
2025,PAN EUROPEENNE,EUP,FRANCE,484,NO
2023,EFS EUROPEAN FLIGHT SERVICE AB,EUW,SWEDEN,1688,NO
2024,EFS EUROPEAN FLIGHT SERVICE AB,EUW,SWEDEN,1333,NO
2025,EFS EUROPEAN FLIGHT SERVICE AB,EUW,SWEDEN,1301,NO
2019,EFS EUROPEAN FLIGHT SERVICE AB,EUW,SWEDEN,1160,NO
2025,EVA AIR,EVA,TAIWAN,9118,NO
2023,EVA AIR,EVA,TAIWAN,9023,NO
2024,EVA AIR,EVA,TAIWAN,8998,NO
2019,EVA AIR,EVA,TAIWAN,3466,NO
2024,EVELOP AIRLINES S.L.,EVE,SPAIN,2719,NO
2025,EVELOP AIRLINES S.L.,EVE,SPAIN,2593,NO
2019,EVELOP AIRLINES S.L.,EVE,SPAIN,2201,NO
2023,EVELOP AIRLINES S.L.,EVE,SPAIN,2152,NO
2019,EVERJETS AVIACAO EX,EVJ,PORTUGAL,292,NO
2023,EVERETT AVIATION 2,EVK,KENYA,60,NO
2024,EVERETT AVIATION 2,EVK,KENYA,38,NO
2025,EVERETT AVIATION 2,EVK,KENYA,32,NO
2019,EVOLEM AVIATION SAS,EVL,FRANCE,433,NO
2019,EUROPE AIR UKRAINE,EVP,UKRAINE,23,NO
2025,ATR (AVIONS DE TR),EVX,FRANCE,387,NO
2023,ATR (AVIONS DE TR),EVX,FRANCE,352,NO
2024,ATR (AVIONS DE TR),EVX,FRANCE,288,NO
2019,EAST WEST AIRLINES,EWA,AUSTRALIA,1,NO
2023,EAST WEST AIRLINES,EWA,AUSTRALIA,1,NO
2019,EUROWINGS GMBH,EWG,GERMANY,237674,NO
2025,EUROWINGS GMBH,EWG,GERMANY,171049,NO
2023,EUROWINGS GMBH,EWG,GERMANY,149919,NO
2024,EUROWINGS GMBH,EWG,GERMANY,149179,NO
2023,EWA AIR,EWR,FRANCE,2419,NO
2024,EWA AIR,EWR,FRANCE,1508,NO
2019,EWA AIR,EWR,FRANCE,1346,NO
2025,EWA AIR,EWR,FRANCE,978,NO
2019,EAST WING KAZAKHSTAN,EWZ,KAZAKHSTAN,4,NO
2019,EXECUJET FBO SA,EXD,SOUTH AFRICA,173,NO
2025,EXECUJET FBO SA,EXD,SOUTH AFRICA,106,NO
2023,EXECUJET FBO SA,EXD,SOUTH AFRICA,50,NO
2024,EXECUJET FBO SA,EXD,SOUTH AFRICA,1,NO
2019,EXECUTIVE JET CHARTER LTD,EXJ,UNITED KINGDOM,183,NO
2023,EXECUTIVE JET CHARTER LTD,EXJ,UNITED KINGDOM,108,NO
2024,EXECUTIVE JET CHARTER LTD,EXJ,UNITED KINGDOM,57,NO
2019,EXO -2T UNITED KING,EXM,BELGIUM,721,NO
2025,SKYBORNE AVIATION TRAINING LTD,EXM,UNITED KINGDOM,73,NO
2023,SKYBORNE AVIATION TRAINING LTD,EXM,UNITED KINGDOM,60,NO
2024,SKYBORNE AVIATION TRAINING LTD,EXM,UNITED KINGDOM,60,NO
2025,JET2.COM LTD,EXS,UNITED KINGDOM,125365,NO
2024,JET2.COM LTD,EXS,UNITED KINGDOM,116464,NO
2023,JET2.COM LTD,EXS,UNITED KINGDOM,102583,NO
2019,JET2.COM LTD,EXS,UNITED KINGDOM,84984,NO
2019,EXECUTIVE AIRLINES,EXU,SPAIN,28,NO
2024,FITS AVIATION,EXV,SRI LANKA,71,NO
2023,FITS AVIATION,EXV,SRI LANKA,31,NO
2024,BRAVO FLIGHT,EYE,PAKISTAN,8,NO
2019,BRAVO FLIGHT,EYE,PAKISTAN,1,NO
2024,EZNIS AIRWAYS,EZA,MONGOLIA,63,NO
2023,EZNIS AIRWAYS,EZA,MONGOLIA,13,NO
2025,EZNIS AIRWAYS,EZA,MONGOLIA,2,NO
2019,AIR KILROE LTD T/A EASTERN AIRWAYS,EZE,UNITED KINGDOM,16659,NO
2023,AIR KILROE LTD T/A EASTERN AIRWAYS,EZE,UNITED KINGDOM,9414,NO
2024,AIR KILROE LTD T/A EASTERN AIRWAYS,EZE,UNITED KINGDOM,7838,NO
2025,AIR KILROE LTD T/A EASTERN AIRWAYS,EZE,UNITED KINGDOM,5066,NO
2024,EASYJET SWITZERLAND,EZS,SWITZERLAND,57531,NO
2019,EASYJET SWITZERLAND,EZS,SWITZERLAND,55349,NO
2025,EASYJET SWITZERLAND,EZS,SWITZERLAND,52820,NO
2023,EASYJET SWITZERLAND,EZS,SWITZERLAND,51899,NO
2019,EASYJET UK LIMITED,EZY,UNITED KINGDOM,345911,NO
2025,EASYJET UK LIMITED,EZY,UNITED KINGDOM,292346,NO
2024,EASYJET UK LIMITED,EZY,UNITED KINGDOM,282128,NO
2023,EASYJET UK LIMITED,EZY,UNITED KINGDOM,270075,NO
2023,ETF AIRWAYS,EZZ,CROATIA,159,NO
2025,ETF AIRWAYS,EZZ,CROATIA,44,NO
2024,ETF AIRWAYS,EZZ,CROATIA,38,NO
2019,BRADLEY AIR SERVICES,FAB,CANADA,16,NO
2023,MIL BOLIVIA,FAB,BOLIVIA,1,NO
2023,MIL COLOMBIA,FAC,COLOMBIA,11,NO
2024,MIL COLOMBIA,FAC,COLOMBIA,1,NO
2025,FLYADEAL,FAD,SAUDI ARABIA,3067,NO
2024,FLYADEAL,FAD,SAUDI ARABIA,2895,NO
2023,FLYADEAL,FAD,SAUDI ARABIA,2023,NO
2019,FLYADEAL,FAD,SAUDI ARABIA,26,NO
2024,GRUPO DE TRANSPORTE AEREO ESPECIAL,FAE,ECUADOR,260,NO
2023,GRUPO DE TRANSPORTE AEREO ESPECIAL,FAE,ECUADOR,155,NO
2019,GRUPO DE TRANSPORTE AEREO ESPECIAL,FAE,ECUADOR,125,NO
2025,GRUPO DE TRANSPORTE AEREO ESPECIAL,FAE,ECUADOR,71,NO
2024,EESTI KAITSEVAGI,FAF,ESTONIA,11,NO
2023,MIL ARGENTINA,FAG,ARGENTINA,78,NO
2024,MIL ARGENTINA,FAG,ARGENTINA,58,NO
2025,MIL ARGENTINA,FAG,ARGENTINA,58,NO
2019,ASL AIRLINES HUNGARY,FAH,HUNGARY,171,NO
2023,PRESIDENCIA DE LA REPUBLICA,FAM,MEXICO,1107,NO
2024,PRESIDENCIA DE LA REPUBLICA,FAM,MEXICO,186,NO
2019,PRESIDENCIA DE LA REPUBLICA,FAM,MEXICO,4,NO
2025,MIL PARAGUAY,FAP,PARAGUAY,59,NO
2023,MIL PERU,FAP,PERU,7,NO
2019,MIL PERU,FAP,PERU,3,NO
2019,AG-RAUM GMBH,FAR,GERMANY,84,NO
2023,FLY BAGHDAD AIRLINES,FBA,IRAQ,2182,NO
2019,FLY BAGHDAD AIRLINES,FBA,IRAQ,1699,NO
2024,FLY BAGHDAD AIRLINES,FBA,IRAQ,647,NO
2025,FLY BAGHDAD AIRLINES,FBA,IRAQ,243,NO
2019,FLEET AIR BG,FBG,BULGARIA,172,NO
2019,FLYBOSNIA D.O.O.,FBS,BOSNIA-HERZEGOVINA,716,NO
2025,FRENCH BEE,FBU,FRANCE,3211,NO
2024,FRENCH BEE,FBU,FRANCE,2905,NO
2023,FRENCH BEE,FBU,FRANCE,2887,NO
2019,FRENCH BEE,FBU,FRANCE,1447,NO
2025,FLYBAI SL,FBY,SPAIN,940,NO
2024,FLYBAI SL,FBY,SPAIN,724,NO
2023,FLYBAI SL,FBY,SPAIN,576,NO
2024,FLY-COOP KFT,FCA,HUNGARY,2100,NO
2025,FLY-COOP KFT,FCA,HUNGARY,2056,NO
2023,FLY-COOP KFT,FCA,HUNGARY,1239,NO
2024,MIL CHILE,FCH,CHILE,2,NO
2025,FLIGHT CALIBRATION,FCK,GERMANY,590,NO
2023,FLIGHT CALIBRATION,FCK,GERMANY,580,NO
2024,FLIGHT CALIBRATION,FCK,GERMANY,571,NO
2019,FLIGHT CALIBRATION,FCK,GERMANY,523,NO
2025,NORDIC REGIONAL AIRLINES OY,FCM,FINLAND,26,NO
2025,FLYDUBAI,FDB,UNITED ARAB EMIRATES,26888,NO
2024,FLYDUBAI,FDB,UNITED ARAB EMIRATES,24240,NO
2023,FLYDUBAI,FDB,UNITED ARAB EMIRATES,19496,NO
2019,FLYDUBAI,FDB,UNITED ARAB EMIRATES,13034,NO
2019,DOUANES FRANCAISES,FDO,FRANCE,805,NO
2025,DOUANES FRANCAISES,FDO,FRANCE,535,NO
2023,DOUANES FRANCAISES,FDO,FRANCE,369,NO
2024,DOUANES FRANCAISES,FDO,FRANCE,314,NO
2024,AMREF FLYING DOCTORS,FDS,KENYA,783,NO
2023,AMREF FLYING DOCTORS,FDS,KENYA,685,NO
2025,AMREF FLYING DOCTORS,FDS,KENYA,482,NO
2019,AMREF FLYING DOCTORS,FDS,KENYA,241,NO
2024,FEDERAL EXPRESS,FDX,USA,28512,NO
2023,FEDERAL EXPRESS,FDX,USA,27290,NO
2025,FEDERAL EXPRESS,FDX,USA,26550,NO
2019,FEDERAL EXPRESS,FDX,USA,24355,NO
2024,FLIGHT DECK SUPPORT SARL,FDZ,LUXEMBOURG,29,NO
2023,FLIGHT DECK SUPPORT SARL,FDZ,LUXEMBOURG,17,NO
2025,FLIGHT DECK SUPPORT SARL,FDZ,LUXEMBOURG,8,NO
2019,FLYEGYPT,FEG,EGYPT,3749,NO
2023,FLYEGYPT,FEG,EGYPT,3423,NO
2024,FLYEGYPT,FEG,EGYPT,1738,NO
2025,FLYEGYPT,FEG,EGYPT,1,NO
2019,ERNIR EHF,FEI,ICELAND,3816,NO
2023,ERNIR EHF,FEI,ICELAND,1690,NO
2024,ERNIR EHF,FEI,ICELAND,858,NO
2025,FLIGHTEXEC,FEX,CANADA,346,NO
2019,FLIGHTEXEC,FEX,CANADA,268,NO
2024,FLIGHTEXEC,FEX,CANADA,224,NO
2023,FLIGHTEXEC,FEX,CANADA,78,NO
2025,FLY4 AIRLINES GREEN LIMITED,FFA,IRELAND,141,NO
2024,FLY4 AIRLINES GREEN LIMITED,FFA,IRELAND,73,NO
2019,STUTTGARTER FLUG,FFD,GERMANY,270,NO
2019,FFL FACHSCHULE FUER,FFE,GERMANY,204,NO
2023,FFL FACHSCHULE FUER,FFE,GERMANY,14,NO
2024,FFL FACHSCHULE FUER,FFE,GERMANY,11,NO
2025,FFL FACHSCHULE FUER,FFE,GERMANY,6,NO
2023,INFINIT AIR,FFI,SPAIN,7,NO
2019,INFINIT AIR,FFI,SPAIN,1,NO
2025,INFINIT AIR,FFI,SPAIN,1,NO
2023,UNKNOWN OPERATOR,FFM,NA,8059,NO
2025,UNKNOWN OPERATOR,FFM,NA,7434,NO
2024,UNKNOWN OPERATOR,FFM,NA,7278,NO
2023,"FLY & FUN, S.L.",FFN,SPAIN,1,NO
2024,"FLY & FUN, S.L.",FFN,SPAIN,1,NO
2025,FRONTIER AIRLINES,FFT,USA,33,NO
2023,AIR65,FGB,FRANCE,127,NO
2024,AIR65,FGB,FRANCE,84,NO
2019,HELITRANS PYRINEE,FGC,SPAIN,10,NO
2023,CONAIR GROUP INC.,FGD,CANADA,36,NO
2025,FTL AIRLINES,FGO,FRANCE,268,NO
2024,FTL AIRLINES,FGO,FRANCE,180,NO
2023,FTL AIRLINES,FGO,FRANCE,42,NO
2025,PRESERVE AIR LLC,FGR,USA,38,NO
2023,SPIRE FLIGHT SOLUTIONS,FGW,IRELAND,1,NO
2025,FLYING HOPE E.V.,FHG,GERMANY,177,NO
2024,FLYING HOPE E.V.,FHG,GERMANY,139,NO
2023,ECENTAIR GMBH,FHG,GERMANY,43,NO
2023,FREEBIRD AIRLINES EUROPE LTD.,FHM,MALTA,2585,NO
2025,FREEBIRD AIRLINES EUROPE LTD.,FHM,MALTA,2305,NO
2024,FREEBIRD AIRLINES EUROPE LTD.,FHM,MALTA,1982,NO
2019,FREEBIRD AIRLINES EUROPE LTD.,FHM,MALTA,833,NO
2024,MINISTRY EXTRM AZERI,FHN,AZERBAIJAN,2,NO
2024,HJEMMEVAERNSKOMMAND.,FHV,DENMARK,173,NO
